,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57,random_model_n58,random_model_n59,random_model_n60,random_model_n61,random_model_n62,random_model_n63,random_model_n64,random_model_n65
118,0,1,0,2,3,4,4,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,0,4,3,2,4,1,2,2,2,2,0,1,1,0,1,0,0,2,2,2,2,1,2,1,1,2,2,2,0,0,1,2,0,1,2,2,1,2,0,0,2,2,1,2,1,1,0,2,2,2,2,1,0,0,1,0,1,2,2,2,1,2,1,0,1,1,0,2,1,0,2,1
119,0,1,2,0,2,3,5,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,1,1,2,1,6,5,0,1,0,0,0,1,0,1,0,0,1,1,1,0,2,0,1,0,1,0,2,2,1,2,0,1,2,2,2,0,2,0,0,2,1,0,2,0,2,1,2,0,2,1,2,1,1,1,1,1,1,0,0,2,2,1,0,1,0,1,2,2,1,1,0,0,2
120,0,1,0,2,3,4,4,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,0,2,4,3,4,1,2,0,1,0,0,1,0,2,2,0,0,0,2,2,0,1,1,0,1,1,0,0,0,1,1,1,0,2,2,1,0,2,1,0,1,0,0,1,2,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,2,2,2,2,2,1,2,2,2,1,2,1
121,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,0,0,1,2,2,2,1,1,0,1,1,2,0,0,0,1,2,2,0,1,0,2,2,2,2,2,0,2,2,0,2,0,1,2,0,1,0,2,2,1,0,0,2,1,1,1,2,0,1,0,2,1,1,2,2,1,2,2,1,1,2,0,1,0,0
122,0,1,2,0,4,0,6,7,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,1,1,2,1,5,1,0,1,2,1,1,0,2,2,1,0,2,0,2,0,1,2,1,0,1,0,2,2,1,2,0,0,0,2,0,1,1,1,1,0,2,2,1,2,1,0,1,1,2,2,1,1,1,1,0,2,1,2,2,0,2,2,0,2,2,1,2,2,0,0,2,2,1
123,0,1,0,2,3,4,4,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,1,0,0,4,3,2,4,1,2,2,2,0,1,2,0,2,2,2,2,2,1,1,2,2,0,2,0,1,1,0,2,0,2,2,1,0,0,2,1,0,1,2,0,0,0,0,1,1,2,0,1,2,0,1,1,0,0,2,2,2,1,1,2,1,2,2,1,0,0,2,2,0,0,2
124,0,1,2,0,2,3,2,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,3,5,0,6,0,1,1,1,1,2,2,1,0,1,1,0,1,1,0,2,1,1,2,2,0,0,1,1,1,0,2,1,0,2,1,1,2,2,1,1,1,0,0,1,1,2,0,1,0,0,1,0,0,0,2,2,1,1,2,1,1,1,0,1,0,0,2,1,2,1,0
125,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,1,1,0,2,2,0,2,1,2,1,0,2,0,1,0,0,2,1,2,2,0,1,2,2,0,2,0,1,1,2,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0
126,0,1,0,3,0,2,0,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,0,2,4,3,2,1,2,1,1,2,2,0,0,1,2,0,0,2,2,0,2,2,2,2,0,0,2,2,1,0,1,1,1,1,1,0,2,0,2,1,2,1,0,0,2,2,0,1,0,1,2,2,1,0,0,0,2,0,1,1,2,1,2,0,2,1,1,0,2,1,1,1
127,0,1,0,3,0,2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,0,2,4,3,7,1,2,2,1,0,1,2,1,1,1,1,1,2,0,2,0,1,2,1,0,1,0,1,0,2,2,2,1,0,2,1,1,1,1,1,2,0,0,0,0,1,1,0,2,1,2,1,1,0,2,2,2,0,2,1,2,2,1,0,0,0,2,1,1,2,0,1
128,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,1,2,2,1,1,1,0,0,1,2,0,0,0,2,1,2,0,1,1,0,2,2,0,1,1,1,1,1,2,1,1,2,2,1,1,0,2,2,0,2,0,2,0,2,1,1,1,2,1,1,2,2,2,1,2,2,0,1,0,1,2,0,0,2,1
129,0,1,2,0,4,0,6,7,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,0,1,1,2,1,5,1,0,1,1,1,0,1,1,1,0,2,1,0,0,0,1,0,0,0,2,2,1,2,2,2,0,2,0,0,2,0,2,1,2,1,1,0,2,2,2,1,1,2,0,0,0,2,1,0,1,0,2,0,2,2,1,1,1,0,1,1,1,2,2,1,2,2,1
130,0,1,2,0,4,0,6,7,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,0,1,1,2,1,5,1,0,1,0,2,1,2,1,1,0,0,1,1,1,1,2,2,2,1,0,2,2,1,1,2,2,2,2,0,2,0,0,0,2,2,2,2,1,2,0,2,1,2,1,0,2,0,1,1,1,2,0,0,2,0,2,0,1,1,2,0,2,2,1,2,1,1,1
131,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,0,0,4,3,2,0,2,0,1,2,2,2,1,0,0,2,2,0,0,1,1,1,1,1,1,2,0,0,1,0,1,2,0,1,2,1,0,2,2,1,1,1,2,0,2,1,2,1,0,2,1,1,2,2,2,1,1,1,2,1,1,1,0,2,1,2,1,1,1,0,1
132,0,1,2,0,2,0,5,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,0,1,1,2,1,6,5,0,1,1,0,2,0,2,2,1,1,2,0,0,2,0,1,1,2,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,1,1,1,0,0,0,2,0,1,0,2,1,0,0,0,0,2,0,1,1,0,2,0,2,2,0,1,1,2,1,1
133,0,1,2,0,2,3,2,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,3,5,0,6,0,1,1,1,1,0,0,1,1,0,0,1,2,1,2,2,0,2,1,0,0,1,0,1,1,1,0,2,0,0,0,2,2,0,1,2,1,0,1,1,2,1,0,0,0,1,2,2,1,2,0,1,0,0,1,1,2,0,1,0,2,0,1,1,0,2,0
134,0,1,2,0,2,3,2,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,3,5,0,6,0,1,1,2,1,0,0,1,2,1,0,1,2,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,2,0,1,0,0,1,0,0,0,2,1,0,2,1,1,1,2,1,1,1,1,2,1,2,0,0,2,2,1,2,0,0,2,2,2,1,1,0
135,0,1,0,2,3,4,4,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,0,4,3,2,4,1,2,1,2,0,1,2,1,2,0,2,2,1,0,2,2,1,1,2,1,2,0,0,2,0,1,2,1,1,0,1,2,0,2,1,1,1,0,0,2,0,2,2,0,2,0,1,0,0,0,0,0,2,1,2,1,1,0,1,1,1,2,2,1,2,1,2
136,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,0,0,4,3,2,0,2,1,0,1,2,0,1,2,2,2,1,2,0,0,1,0,1,2,2,2,1,2,0,0,0,0,1,0,0,0,0,1,1,0,1,1,2,1,1,0,1,1,0,2,0,2,1,2,0,2,1,1,2,0,0,0,0,0,1,2,0,2,0,1,1
137,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,0,2,0,1,2,1,2,1,1,1,1,1,1,1,1,0,2,2,1,2,0,0,1,1,1,2,0,2,1,0,0,0,0,2,0,1,2,1,0,2,0,0,2,0,2,2,2,1,0,0,0,1,1,1,2,2,2,1,0,0,1,0,2,1,2
138,0,1,0,2,3,4,0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,0,2,4,3,2,1,2,1,2,2,2,0,1,0,1,1,1,1,0,0,2,0,1,0,0,0,1,0,2,0,2,1,0,2,1,0,1,1,2,2,2,0,2,2,0,2,2,0,2,1,0,1,0,2,1,0,0,0,1,2,1,1,0,0,2,1,1,2,2,1,2,0
139,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,0,0,4,3,2,0,0,2,0,1,1,1,2,0,0,2,2,2,1,2,0,1,0,0,1,2,0,2,2,2,0,1,1,0,1,0,1,2,0,0,0,0,1,0,1,0,0,1,0,2,1,0,2,1,2,2,2,2,1,0,1,1,2,1,1,2,0,1,1,2,2
140,0,1,0,3,0,2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,0,2,4,3,7,1,2,1,1,2,1,2,1,0,2,2,0,2,2,0,2,2,1,0,1,1,0,0,0,2,0,1,1,1,1,1,2,0,0,0,0,0,0,2,2,2,1,1,1,0,2,1,1,1,0,2,2,0,1,0,0,1,2,1,0,1,1,1,2,1,2,2
141,0,1,2,0,2,3,5,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,1,1,2,1,6,5,0,1,2,2,2,0,2,1,0,0,2,1,2,1,0,2,1,0,2,0,2,2,2,0,0,1,0,0,0,1,2,1,1,0,1,0,1,2,0,2,1,2,1,0,2,2,2,1,0,2,0,0,2,2,0,1,2,2,2,1,1,1,1,1,0,2,0
142,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,0,0,2,1,0,0,1,2,2,1,1,2,2,0,1,2,1,2,1,1,2,1,1,2,0,1,0,2,1,1,2,2,1,2,1,2,1,1,0,0,2,2,0,0,0,1,1,1,0,1,1,0,2,2,1,0,2,0,1,2,0,1,1,1,1
143,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,1,2,2,0,1,2,1,2,0,0,1,1,1,2,2,2,2,0,2,0,0,1,0,0,2,0,0,2,2,0,1,0,2,2,2,2,2,0,0,2,1,0,1,1,2,0,0,1,0,2,0,1,2,2,2,0,2,0,2,1,1,2,1,1,0
144,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,0,0,4,3,2,0,2,0,0,2,0,1,1,0,2,1,1,0,2,0,1,0,0,1,2,0,1,0,2,1,2,1,1,2,0,1,2,0,1,1,2,0,0,2,0,2,2,1,0,2,2,1,2,0,0,1,2,0,0,0,2,0,1,2,0,0,1,2,2,2,2
145,0,1,2,0,4,0,6,7,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,1,1,2,1,5,1,0,1,1,2,2,2,1,1,1,0,2,0,1,2,1,1,2,1,1,1,2,1,0,0,2,2,1,0,1,0,1,0,1,1,2,2,1,2,0,2,2,0,2,0,0,2,2,0,2,0,2,0,0,2,1,2,0,1,2,0,1,1,2,2,0,2,0
146,0,1,0,2,3,4,4,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,0,4,3,2,4,1,2,1,0,0,1,2,2,2,2,2,0,2,2,1,1,1,1,2,1,0,0,2,1,0,0,1,1,2,2,0,1,0,2,1,0,1,2,1,0,1,0,2,1,0,1,1,1,2,1,0,0,1,1,1,0,2,1,1,2,1,2,0,0,0,2,0
147,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,1,0,2,2,0,0,2,2,0,1,0,1,2,1,0,2,0,1,0,0,1,0,0,0,2,2,2,1,1,2,2,1,2,1,0,2,2,0,0,2,1,0,2,2,2,2,2,0,1,0,1,2,0,2,0,1,1,2,2,0,1,0,0,0,2
148,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,3,0,0,4,3,2,0,2,2,2,1,1,0,2,0,2,0,2,0,1,1,1,0,0,0,0,1,0,2,0,1,1,2,2,1,0,0,0,0,1,2,2,1,1,1,0,0,1,0,2,2,1,0,2,0,2,2,2,2,1,2,2,1,1,2,0,1,1,2,2,1,2
149,0,1,0,2,3,4,4,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,0,4,3,2,4,1,2,2,1,0,0,0,2,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,2,1,1,0,1,1,1,2,1,1,0,2,2,0,2,0,0,1,0,0,1,2,2,2,0,2,0,0,1,1,2,2,2,2,1,0,0,1,0,1,1,1,0,1
150,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,2,1,2,2,0,0,2,0,1,1,1,0,1,2,1,2,1,1,2,1,1,2,0,1,1,1,1,2,1,1,0,0,0,2,2,0,0,2,2,2,2,0,2,0,0,0,0,1,0,2,2,2,0,2,0,2,0,2,1,1,0,0,1,1,0
151,0,1,2,0,2,3,5,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,2,1,5,1,0,1,1,0,0,2,0,1,0,2,1,0,2,2,0,1,1,2,2,1,2,1,1,0,1,0,2,0,2,2,1,2,0,2,1,0,2,1,1,2,1,1,0,2,0,1,0,2,1,2,0,2,0,0,1,2,1,1,0,0,0,0,0,0,2,2,2
152,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,3,0,0,4,3,2,0,2,2,2,2,1,2,2,2,2,0,2,2,1,2,0,1,0,1,0,0,0,1,2,0,2,1,0,0,0,0,1,1,1,2,0,0,1,2,2,2,2,1,0,0,0,1,2,2,1,0,2,0,0,2,0,1,2,2,0,2,2,1,0,1,1
153,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,3,0,0,4,3,2,0,2,2,1,2,2,0,2,0,2,2,2,0,1,2,0,2,0,0,1,0,1,0,0,1,0,0,2,1,0,2,0,0,1,1,0,0,0,2,2,1,1,1,2,1,0,1,2,2,2,1,1,1,2,1,2,0,0,0,0,0,1,0,0,1,1
154,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,0,0,4,3,2,0,2,0,2,0,2,1,1,1,1,1,0,1,1,1,2,1,0,0,1,1,2,0,0,1,0,1,0,1,0,1,1,1,2,2,2,2,1,0,0,0,0,1,0,2,1,1,1,0,1,2,2,0,2,0,1,1,0,1,1,0,2,2,2,0,1
155,0,1,0,2,3,4,4,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,0,4,3,2,4,1,2,2,0,0,0,0,1,2,0,2,2,2,2,2,1,0,1,0,1,2,1,0,2,2,0,2,1,2,1,2,1,2,0,2,0,0,0,0,0,0,1,2,2,1,2,0,0,2,1,1,2,1,0,1,2,1,2,2,1,0,1,2,0,2,2,1
156,0,1,2,0,2,3,5,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,1,1,2,1,6,5,0,1,1,2,2,1,0,0,1,0,1,1,0,2,2,2,0,0,1,0,0,0,1,1,2,2,2,1,0,0,0,0,0,1,0,2,0,1,1,2,1,1,1,0,0,1,1,2,1,0,2,1,2,1,2,2,1,2,0,0,1,1,1,2,0,1,0
157,0,1,2,0,2,3,2,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,7,0,0,1,1,3,5,0,6,0,1,1,2,1,1,0,0,2,0,1,1,1,2,0,2,1,0,0,0,0,0,1,0,0,1,1,0,2,1,1,0,0,2,1,0,1,2,0,2,2,2,2,1,0,1,1,2,1,1,2,0,2,2,0,2,2,0,1,2,1,2,2,2,0,1,2
158,0,1,0,3,0,2,0,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,0,2,4,3,7,1,2,0,2,0,2,2,1,0,2,2,2,2,2,0,1,1,0,0,1,2,2,0,1,2,0,2,2,0,0,2,2,0,0,0,2,1,1,1,0,0,1,0,1,1,1,2,0,2,2,0,2,0,2,2,2,0,2,2,2,1,1,2,2,0,2,0
159,0,1,0,3,0,2,0,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,0,2,4,3,2,1,2,1,0,1,2,1,2,1,2,0,2,0,2,1,0,0,1,2,2,1,2,2,2,2,0,2,0,0,0,2,1,0,1,0,2,2,0,1,1,0,0,0,1,0,0,2,1,0,0,1,1,2,1,0,0,0,0,0,2,2,1,0,0,2,0,2
160,0,1,0,2,3,4,4,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,1,0,0,2,4,3,7,1,2,0,1,1,1,2,2,1,1,1,0,2,1,2,0,0,1,1,1,0,2,1,0,2,0,2,1,2,2,0,0,2,1,2,0,2,1,2,1,2,2,1,0,2,1,0,0,0,1,0,1,1,0,0,1,2,2,0,2,2,1,2,0,2,0,2
161,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,0,2,0,2,2,0,1,1,2,0,1,0,1,0,2,2,0,2,1,2,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,2,2,0,2,1,1,2,1,0,0,0,0,1,2,0,0,2,2,2,1,2,2,1,0,0,2,2,1,0
162,0,1,2,0,2,3,2,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,3,5,0,6,0,1,0,1,1,1,2,2,0,0,0,2,1,0,1,1,2,1,1,2,2,0,2,2,2,1,2,0,1,0,0,2,2,1,0,2,0,0,2,2,2,2,1,0,2,1,0,1,0,1,1,2,2,0,0,1,1,2,2,1,1,2,2,2,2,1,2
163,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,0,0,4,3,2,0,0,1,1,0,0,1,1,1,0,1,2,1,0,0,2,1,1,0,0,0,1,1,2,1,2,1,2,0,1,2,2,2,0,0,0,0,0,2,2,0,0,0,1,0,2,2,1,1,1,2,0,1,2,2,0,1,2,1,2,2,1,0,2,1,0
164,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,0,2,2,0,2,0,0,2,2,1,0,0,1,1,0,1,0,0,2,2,0,0,0,0,0,1,1,0,2,1,1,1,0,0,1,2,2,2,2,1,1,2,1,2,2,0,1,1,2,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,2
165,0,1,2,0,2,3,2,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,3,5,0,6,0,1,0,1,1,1,2,1,2,2,0,1,2,1,0,2,0,0,1,0,0,0,2,2,0,0,2,1,0,2,0,1,1,0,2,0,0,2,0,0,2,2,0,2,1,1,1,1,2,1,1,0,1,2,1,1,1,2,0,2,0,1,2,1,2,2,1
166,0,1,0,3,0,2,0,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,0,2,4,3,2,1,2,2,2,1,0,1,0,1,0,2,2,0,1,0,2,0,1,2,2,2,2,1,1,1,0,1,2,2,2,2,0,2,1,1,2,2,2,1,1,2,1,2,1,0,1,1,2,2,0,1,1,1,0,0,1,2,0,1,2,0,2,2,1,1,1,2
167,0,1,0,3,0,2,0,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,0,2,4,3,2,1,2,0,1,0,0,2,1,2,2,0,0,1,2,2,2,0,2,2,2,0,0,2,0,2,2,1,1,0,2,2,0,0,0,2,2,2,0,2,2,0,2,2,1,1,0,0,2,2,1,2,0,2,1,2,1,2,0,2,2,1,2,1,1,2,1,0
168,0,1,2,0,2,3,2,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,3,5,0,6,0,1,0,1,2,0,1,1,0,2,0,2,1,0,1,0,1,0,1,2,2,0,0,2,0,1,1,2,0,0,2,1,0,0,2,2,0,2,1,1,0,0,1,1,0,2,0,0,2,0,2,0,1,2,1,1,2,1,2,1,2,1,0,2,2,0,0
169,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,2,2,0,1,2,0,1,2,2,1,1,1,1,2,2,0,1,1,1,2,0,2,2,2,0,2,2,0,1,2,1,1,1,0,2,2,1,0,0,2,1,2,0,1,0,1,0,1,1,0,0,1,2,0,1,1,2,2,0,1,0,1,1,2,0
170,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,1,0,2,0,0,2,0,2,0,1,1,0,1,1,1,2,2,1,2,2,0,0,2,2,2,2,2,2,1,1,2,0,0,2,0,2,0,1,0,2,2,2,2,1,0,0,2,0,2,0,0,2,1,0,0,0,1,1,1,0,2,0,0,0,2
171,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,0,1,0,1,2,0,0,1,2,2,0,0,2,2,0,2,2,2,0,0,0,2,1,2,2,2,2,1,2,1,0,0,1,2,0,2,1,2,0,0,0,1,0,2,0,1,0,1,1,2,2,2,2,2,2,0,1,1,2,0,2,1,1,1,2
172,0,1,0,2,3,4,0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,0,2,4,3,2,1,2,1,2,0,0,1,1,0,1,2,0,1,1,1,0,1,0,2,0,1,2,1,2,2,0,0,2,1,2,1,2,1,1,2,2,2,2,2,1,0,0,0,0,2,1,0,1,2,0,1,2,1,2,1,1,0,2,2,2,0,0,2,2,1,2,2
173,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,0,0,0,2,2,2,0,2,0,2,0,2,2,0,2,2,2,0,0,1,2,2,1,1,2,1,2,0,1,1,1,1,2,0,1,0,1,1,2,0,2,0,0,0,1,0,2,2,2,2,1,2,2,2,0,0,0,0,1,1,0,1,1,0,0
174,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,2,2,1,1,1,2,2,0,0,1,2,1,0,2,0,0,2,1,2,0,1,1,2,0,2,2,0,2,1,2,1,2,2,1,0,2,1,2,1,0,2,1,2,0,1,0,0,2,0,1,1,2,1,0,1,1,2,2,2,2,0,2,1,0,1
175,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,2,2,2,2,0,0,0,2,2,1,0,0,1,0,1,0,2,2,2,1,0,0,0,1,0,2,1,2,0,2,1,1,2,0,2,0,1,1,2,1,0,2,1,2,2,1,2,1,2,2,0,1,1,1,0,0,0,2,0,1,0,2,1,1,0
176,0,0,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,2,1,0,2,0,1,0,0,1,2,2,0,1,1,0,0,2,0,1,2,1,0,0,0,0,2,0,0,0,1,0,1,2,2,2,2,2,0,2,1,1,0,2,0,1,1,2,1,1,2,2,2,1,1,0,1,2,1,1,0,2,1,2,1,0,1,0,2,1,2
177,0,1,0,2,3,4,4,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,0,4,3,2,4,1,2,0,0,0,1,1,1,2,2,0,2,1,1,2,0,2,0,2,2,2,2,0,1,2,0,0,2,2,1,0,0,2,1,2,0,2,1,2,0,0,2,1,2,2,0,1,1,2,0,1,0,1,2,0,2,2,1,1,0,2,2,0,0,2,0,1
178,0,1,0,2,3,4,4,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,0,2,3,2,2,1,2,0,0,0,2,1,2,1,2,1,1,2,2,1,1,1,2,0,0,0,0,2,2,0,2,2,0,2,1,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,2,1,2,2,0,2,1,2,0,0,0,1,1,0,0,0,0,1,0,1
179,0,1,2,0,2,3,5,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,2,1,5,1,0,1,0,1,2,0,1,1,0,1,1,1,1,2,1,2,2,0,2,1,0,2,2,2,2,2,1,2,2,1,2,1,0,1,1,2,2,2,1,2,2,2,2,1,0,2,1,2,2,1,2,0,0,2,1,2,0,2,0,1,0,2,1,1,1,1,2
