,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45
150,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,2,0,0,1,1,2,1,5,0,0,0,2,2,3,1,1,3,1,3,2,2,3,1,1,2,0,0,0,2,1,2,1,2,0,1,1,0,3,2,3,1,2,0,0,1,0,0,1,2,2,3,1,2,0,3,3
151,0,1,2,0,4,3,0,1,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,2,3,1,3,1,3,1,2,0,2,3,2,3,0,1,2,2,0,2,0,1,1,0,3,2,1,2,1,2,0,3,1,0,0,2,3,2,2,3,2,1,2,2,0,0
152,0,0,1,3,2,1,6,2,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,2,2,5,0,0,1,2,3,1,2,2,3,0,1,2,1,0,3,2,3,3,3,2,1,0,2,3,1,3,1,2,3,0,1,0,3,1,2,3,2,2,3,3,1,3,3,0,2,3,3
153,0,0,1,3,1,5,6,6,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,1,2,2,3,3,1,1,0,0,3,0,2,1,0,3,3,2,0,1,3,3,2,0,3,3,1,1,0,3,2,3,1,2,3,0,3,1,1,3,3,2,3,0,0,3,3,3,3,1,2,2,2,1,0
154,0,1,0,2,3,4,4,5,69,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,3,1,0,3,3,2,2,3,2,0,0,3,0,2,0,3,1,1,1,0,3,3,3,1,2,0,3,1,0,0,1,1,0,2,1,3,1,2,3,3,0,2,2,3,0
155,0,0,0,1,0,2,1,4,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,0,0,0,3,0,0,3,1,1,0,0,0,2,3,1,0,1,0,1,1,3,0,1,2,2,2,3,2,2,2,0,1,0,2,3,0,1,0,0,0,1,2,0,3,3,1,2,0
156,0,0,1,3,2,1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,2,2,5,0,0,0,2,3,2,0,3,2,2,0,3,1,1,3,3,0,0,1,1,2,2,3,2,2,0,1,2,1,0,3,2,1,0,2,0,0,2,2,0,3,0,2,3,3,0,0
157,0,0,1,3,2,1,6,2,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,3,3,2,2,0,1,0,3,1,0,0,0,2,0,0,2,3,1,1,1,0,0,3,2,0,1,3,1,0,3,1,0,1,1,0,0,3,1,0,0,1,2,2,3,3
158,0,1,2,2,3,4,4,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,2,1,3,1,1,0,0,3,1,1,2,2,1,2,1,0,3,2,1,0,1,0,3,3,3,2,0,3,3,1,3,2,3,0,3,0,2,0,3,1,1,2,2,1,3
159,0,1,1,3,1,5,5,6,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,2,2,3,3,1,1,0,0,2,0,0,2,2,0,2,1,0,1,1,3,2,1,3,3,2,2,3,0,0,3,1,2,3,0,0,2,3,3,3,1,3,1,2,1,1,1,0,3,1,3,3,2,1
160,0,0,1,3,1,0,5,6,70,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,2,3,1,1,1,0,0,2,0,2,1,1,3,1,2,1,1,2,2,0,3,3,3,0,2,1,3,2,2,1,0,3,1,3,1,0,3,0,2,1,2,3,0,0,1,3,2,0,1,1,2,3
161,0,0,1,3,1,5,5,6,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,2,2,3,1,1,1,0,0,0,2,3,1,0,1,0,3,2,3,2,3,3,1,1,3,1,3,3,2,1,2,1,2,2,2,0,2,1,0,0,1,3,3,2,0,3,1,2,3,3,2,0,0,1
162,0,0,1,3,2,1,2,7,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,3,3,1,1,0,0,2,2,1,1,1,1,0,3,3,3,2,2,0,1,3,3,3,2,3,0,3,0,2,0,0,0,1,1,1,2,1,1,0,0,0,2,2,2,3,3,3,0,2,0,0
163,0,1,2,0,4,3,0,1,71,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,1,1,3,3,2,0,0,2,2,3,2,1,1,3,3,1,3,0,2,1,3,3,1,3,2,0,1,3,1,2,0,1,0,1,1,0,0,0,3,0,3,2,2,0,2
164,0,0,1,3,2,1,2,7,72,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,0,2,2,5,0,0,1,0,3,3,3,3,2,3,3,1,3,0,1,3,3,3,3,2,2,1,2,2,1,3,1,1,2,1,0,2,3,2,0,0,0,0,0,2,2,3,1,1,2,3,0
165,0,0,0,1,0,2,1,0,73,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,4,5,3,0,0,0,2,3,1,1,2,0,1,1,2,0,1,2,0,1,1,2,1,0,2,3,1,0,1,2,2,1,1,3,3,1,2,2,3,1,2,0,2,0,0,3,0,2,2,0,3
166,0,0,1,3,2,1,2,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,2,2,5,0,0,2,1,2,3,1,0,0,3,0,0,3,2,3,0,1,1,0,1,2,0,3,0,1,1,3,0,2,0,3,2,2,2,0,0,2,2,3,0,0,1,1,3,3,1,1
167,0,1,2,0,4,3,0,1,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,1,3,3,0,3,0,3,0,1,1,0,1,2,0,3,0,0,2,0,3,0,2,3,1,0,1,3,0,0,0,3,1,2,2,2,3,3,2,0,0,0,2,0,3,2
168,0,1,0,2,3,4,4,5,75,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,3,2,3,3,2,0,2,3,2,0,1,1,1,3,0,1,3,3,2,2,0,1,1,1,2,2,0,1,1,1,2,0,1,1,0,2,2,0,0,2,2,1,2,2,2
169,0,1,0,2,3,4,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,0,0,0,2,0,3,3,0,0,3,0,1,2,2,2,0,3,1,0,3,2,3,3,0,0,1,3,1,0,3,1,3,1,2,0,0,2,0,3,0,1,1,0,3,1,3,3,1
170,0,1,2,0,1,5,5,6,76,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,3,1,1,1,0,0,1,2,2,2,3,0,3,2,0,2,0,0,1,0,3,0,0,0,3,1,1,3,0,2,0,3,3,3,3,0,1,3,1,1,2,2,0,0,1,0,0,1,3,2,3
171,0,1,2,0,1,5,5,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,1,1,1,1,0,0,2,1,0,0,0,1,0,1,2,3,0,3,2,1,3,2,0,2,0,3,2,0,3,1,1,2,3,1,3,1,3,3,1,2,2,3,3,3,3,2,1,3,0,1,0
172,0,1,2,0,4,3,0,1,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,3,3,1,3,0,0,2,0,3,0,3,3,3,0,0,3,0,2,3,2,3,3,1,0,2,0,0,1,2,0,3,3,3,2,1,3,0,2,2,1,3,2,2,1,2
173,0,1,2,0,4,3,0,1,77,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,5,6,0,0,2,2,2,3,3,2,1,1,2,3,1,3,1,0,2,2,3,3,1,2,0,2,0,2,0,1,1,1,3,1,2,0,3,3,0,3,0,3,3,1,1,2,3,0,3
174,0,1,2,0,4,3,0,1,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,2,2,1,1,3,2,0,3,0,2,0,2,3,1,1,1,1,3,2,0,0,2,2,0,2,0,3,2,2,0,0,3,3,3,1,2,0,0,1,2,3,1,3,2,0
175,0,0,1,3,2,1,6,2,78,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,3,0,1,3,0,3,1,0,3,3,1,0,2,0,3,2,3,0,2,2,2,2,3,1,1,2,0,1,2,0,2,0,3,0,3,1,3,3,0,3,1,3,2,0,1
176,0,1,0,2,3,4,4,5,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,0,2,1,1,3,2,1,3,0,0,2,3,0,0,0,1,3,3,2,2,3,3,2,3,2,1,3,2,3,0,3,0,2,1,2,1,0,1,0,0,1,2,2,1,3
177,0,1,2,0,4,3,0,1,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,0,2,3,2,1,2,2,2,0,2,2,2,3,2,3,0,3,0,0,1,3,2,1,2,3,3,2,1,2,3,3,0,2,1,3,2,3,0,1,0,0,2,1,1,2
178,0,1,2,0,4,3,0,1,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,1,3,1,3,1,0,3,1,0,3,2,0,3,2,0,3,0,3,1,1,2,0,0,0,0,1,3,1,2,1,2,1,2,1,3,0,1,0,3,2,0,2,3,2,1
179,0,0,1,3,2,1,2,7,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,3,3,2,5,0,0,2,2,3,1,1,0,3,3,3,2,1,1,3,1,0,2,3,3,3,1,1,3,1,1,3,3,1,2,2,3,2,3,3,0,2,3,1,0,1,1,2,3,2,2,0
180,0,1,2,0,4,3,0,3,65,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,1,2,3,1,4,5,6,0,0,1,2,2,2,0,1,3,1,3,1,2,0,0,2,3,2,3,2,1,1,1,0,0,0,1,1,3,0,3,2,3,2,2,1,2,2,1,1,1,3,2,2,2,3,0
181,0,0,1,3,2,1,2,7,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,2,2,5,0,0,0,2,0,2,1,3,2,2,0,1,0,3,0,2,3,3,3,2,0,2,2,1,2,2,1,1,2,0,2,1,0,3,2,3,2,1,3,0,2,1,1,2,2,0,1
182,0,1,2,0,4,3,0,1,80,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,2,0,3,2,1,0,0,0,1,2,1,2,1,1,0,3,1,2,3,1,0,1,0,0,2,1,3,1,0,0,1,1,0,3,2,3,3,0,2,3,0,0,0,3,3
183,0,0,0,2,3,4,3,0,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,1,1,4,5,3,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,3,3,1,2,2,0,1,1,0,0,1,3,2,1,3,0,2,3,1,0,0,2,2,1,3,3,3,2,0,0,3,0,3
184,0,0,1,3,2,1,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,0,3,0,3,1,3,2,3,2,2,1,1,2,0,1,3,3,2,2,1,1,3,2,1,0,3,1,1,3,2,0,0,3,1,0,1,2,1,0,3,3,2,1,3,2
185,0,1,0,2,3,4,4,5,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,1,3,2,2,2,0,3,1,1,2,1,1,2,0,3,2,1,3,0,0,3,0,2,1,1,0,3,1,2,1,1,1,2,2,2,3,2,0,2,0,0,2,0,1,3
186,0,1,2,0,4,3,0,1,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,1,3,2,2,1,1,3,2,3,1,1,0,3,2,2,2,0,1,2,2,2,2,3,0,0,1,2,2,1,2,2,0,1,1,3,3,3,1,0,0,1,1,3,0,1
187,0,1,2,0,4,3,0,1,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,0,1,1,3,0,0,2,0,0,2,0,1,3,1,1,2,3,0,0,0,0,3,2,0,1,0,1,3,0,1,2,2,0,2,1,2,2,3,2,1,2,1,0,1,1
188,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,0,4,1,3,0,0,0,3,1,0,1,0,2,0,3,3,2,1,1,1,3,0,2,3,0,0,2,0,1,1,3,3,2,1,2,2,0,1,1,0,0,0,2,1,3,1,3,0,1,3,2,2
189,0,1,2,0,4,3,0,3,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,3,1,4,5,6,0,0,3,1,3,3,0,0,2,0,3,0,2,2,3,3,1,0,0,2,1,3,1,0,2,3,0,1,0,1,3,0,0,3,1,1,1,3,3,2,2,1,0,3,0,1,1
190,0,0,1,3,2,1,2,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,2,2,5,0,0,0,3,0,3,3,1,0,1,2,1,3,3,3,0,1,3,3,3,1,2,1,0,3,3,3,2,3,1,1,1,0,0,1,1,1,2,2,3,0,0,3,1,0,0,2
191,0,1,2,0,1,0,5,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,3,1,1,5,6,0,0,3,3,2,3,3,3,1,3,1,0,0,2,2,3,2,0,1,2,1,2,2,1,2,0,1,3,3,3,0,2,1,3,0,3,0,1,1,3,0,1,1,0,0,2,0
192,0,0,0,1,0,2,1,4,63,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,2,3,0,1,0,0,2,3,3,0,2,0,1,2,1,3,1,0,3,0,0,1,3,2,1,3,3,1,1,2,0,0,3,3,2,2,0,1,1,1,2,1,3,0,1
193,0,1,2,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,1,1,1,2,3,1,1,1,3,1,3,0,0,1,2,3,2,3,1,2,0,3,2,2,3,3,1,3,1,1,1,1,0,1,3,2,0,0,1,3,3,0,0,3,2
194,0,0,1,3,2,1,6,2,81,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,5,0,0,3,1,1,0,1,1,1,3,0,2,0,2,1,0,1,3,3,1,1,0,0,2,0,0,3,2,3,2,3,2,0,1,1,1,0,2,3,1,2,1,2,3,0,2,0
195,0,0,1,3,2,0,2,7,18,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,0,2,0,2,2,5,0,0,2,2,1,0,3,2,0,1,0,1,1,0,2,1,0,3,1,3,3,1,3,1,1,2,2,3,2,0,1,2,2,2,2,2,3,2,0,2,0,2,3,1,2,1,0
196,0,1,0,2,3,0,3,3,82,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,1,2,1,5,6,0,0,3,2,1,2,1,0,3,0,1,1,3,3,1,2,0,2,1,1,3,2,1,3,0,1,3,1,0,0,1,2,1,2,2,1,1,3,0,0,0,1,0,0,2,2,3
197,0,1,2,0,4,3,0,1,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,2,3,1,0,0,2,2,0,2,3,2,2,1,2,3,1,1,2,3,1,2,0,2,3,0,2,2,3,1,3,2,3,1,1,1,1,1,0,2,3,0,1,1,3,1
198,0,1,2,0,4,3,0,1,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,0,3,2,1,0,1,1,0,3,0,0,2,2,2,2,0,3,1,3,3,0,3,3,0,3,3,0,2,1,1,2,1,2,0,0,0,1,3,2,3,0,0,0,3,1
199,0,1,0,2,3,0,3,0,14,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,4,1,3,0,0,0,3,0,2,0,0,0,1,2,2,2,0,0,0,1,3,2,1,1,3,2,1,1,3,0,1,3,2,1,2,1,3,3,2,0,3,2,3,0,2,0,0,2,3,2,0
200,0,0,1,3,1,0,2,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,0,2,0,1,2,5,0,0,3,2,3,1,0,3,2,3,3,2,3,3,2,3,1,1,0,3,3,0,0,1,0,3,3,0,3,1,1,0,3,1,3,2,1,3,1,3,3,2,1,3,2,1,3
201,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,0,4,1,3,0,0,0,2,0,1,1,0,0,1,1,1,2,2,1,1,2,2,3,1,1,1,1,1,3,3,1,0,3,3,3,2,3,3,1,2,3,1,3,0,3,1,3,3,2,1,3,2
202,0,0,1,1,0,2,2,7,83,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,0,0,0,0,2,2,5,0,0,0,3,3,0,3,1,0,2,1,1,3,0,3,1,0,0,0,0,1,3,0,2,3,1,1,0,0,1,3,3,0,1,0,3,2,0,1,0,2,2,1,0,2,2,0
203,0,1,2,0,1,0,5,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,3,1,1,5,6,0,0,1,3,2,2,2,2,1,3,3,2,0,0,1,1,1,1,3,2,2,0,0,0,1,0,3,0,2,1,0,1,1,2,3,3,3,3,2,3,2,3,1,1,3,3,2
204,0,0,0,1,0,2,1,4,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,0,1,1,0,2,0,0,2,1,1,3,2,0,0,3,0,2,2,0,0,1,2,0,2,0,2,1,3,2,1,1,2,1,0,3,1,0,0,0,1,2,0,1,1,3
205,0,1,0,2,1,0,3,3,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,7,0,0,1,1,2,1,5,6,0,0,2,1,1,1,0,1,3,2,2,3,2,2,0,0,0,0,2,0,3,3,0,1,2,2,3,3,1,1,3,2,3,1,0,0,1,0,0,0,1,0,1,2,3,2,0
206,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,0,4,1,3,0,0,0,1,3,3,1,1,0,2,2,1,0,3,1,2,3,1,3,1,3,0,1,2,1,0,0,2,2,0,2,2,1,2,3,0,1,0,2,0,0,1,2,2,1,2,2,3
207,0,1,0,2,3,4,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,0,3,3,0,3,1,0,0,0,1,2,2,3,3,0,2,0,0,3,1,1,3,2,3,0,1,0,0,2,1,0,0,3,1,3,1,0,0,0,2,3,1,0,2,1
208,0,1,2,2,3,4,4,3,84,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,1,1,2,1,5,6,0,0,0,1,3,0,0,2,0,3,1,3,0,1,3,1,2,0,1,2,3,2,2,0,1,0,1,0,2,2,0,2,1,1,0,1,3,1,1,1,0,3,2,0,2,3,3
209,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,0,4,1,3,0,0,0,0,0,0,2,0,1,0,1,3,1,0,0,3,0,0,3,1,2,2,1,0,3,3,3,0,1,0,3,0,3,3,3,2,3,3,0,0,2,0,0,3,3,1,0,2
210,0,0,1,3,2,1,2,7,72,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,2,2,5,0,0,0,2,3,1,2,1,3,2,1,0,0,2,2,2,1,0,3,3,3,0,0,3,2,1,0,0,3,2,2,2,0,0,3,2,1,3,2,3,3,1,1,0,0,1,1
211,0,1,0,2,3,4,3,5,85,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,7,0,0,1,1,2,1,5,6,0,0,0,3,0,1,2,1,1,3,2,3,0,0,3,0,3,3,3,2,1,3,3,2,2,0,3,3,2,1,0,0,0,2,1,2,3,3,2,2,0,0,3,1,3,1,1
212,0,0,1,3,2,1,2,7,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,2,2,5,0,0,1,3,0,1,3,0,2,2,0,3,3,3,0,3,3,2,2,3,3,0,2,0,3,2,0,2,3,2,2,2,3,1,1,2,3,2,2,0,1,1,3,0,2,1,3
213,0,1,2,0,1,5,5,6,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,3,3,1,1,0,0,0,2,0,1,3,3,3,0,0,0,0,1,3,0,0,2,1,0,2,2,1,2,3,3,2,3,1,3,2,1,3,2,2,3,3,3,2,0,3,0,2,3,2,0,2
214,0,0,1,3,2,1,6,2,86,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,0,0,1,3,0,3,3,2,3,3,1,0,2,3,3,0,2,2,2,2,1,0,1,0,3,1,0,1,2,1,3,2,0,0,1,1,1,3,3,3,0,3,0,2,2
215,0,1,2,0,4,3,0,1,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,0,3,3,2,0,1,0,0,3,1,1,1,0,2,3,3,3,3,0,3,3,1,3,0,3,0,1,2,2,2,2,3,2,0,3,0,2,3,1,0,0,1,0,0,1
216,0,0,0,2,3,4,3,0,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,1,1,4,5,3,0,0,0,2,1,3,1,2,1,2,0,1,0,1,0,0,0,0,3,3,3,3,0,3,2,1,1,3,3,1,3,3,3,2,0,3,3,1,2,3,3,1,1,1,2,0,0,2
217,0,1,2,0,4,3,0,3,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,3,1,4,5,6,0,0,1,2,3,3,1,2,3,2,0,0,1,0,0,0,3,0,0,2,3,1,2,1,2,1,0,0,3,0,0,1,0,3,2,2,3,2,1,2,2,1,3,2,0,1,3
218,0,1,0,2,3,4,3,0,87,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,2,0,0,1,1,2,0,6,0,0,0,3,0,3,0,0,1,2,3,1,0,2,1,2,2,2,0,1,3,0,3,1,2,3,0,2,1,1,2,1,1,2,0,3,1,2,1,1,1,1,0,2,0,2,1,2
219,0,1,2,0,1,5,5,6,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,1,1,1,1,0,0,2,0,1,0,0,1,1,1,3,3,1,0,2,1,0,1,0,2,2,1,2,2,1,0,1,0,0,0,1,1,3,3,2,2,1,0,0,3,0,2,0,0,0,1,2
220,0,1,2,0,4,3,0,1,88,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,5,6,0,0,0,0,0,0,2,1,0,1,1,1,3,0,3,1,0,1,3,1,0,0,2,0,2,1,3,0,2,2,3,1,0,0,3,3,3,0,0,2,2,0,2,1,0,1,0
221,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,2,1,5,0,0,0,1,0,0,2,2,3,2,1,0,2,1,2,3,1,0,1,0,0,0,3,0,3,0,3,1,2,1,2,2,1,0,0,1,3,3,1,0,0,0,3,3,0,0,2,2
222,0,1,2,0,1,0,5,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,3,1,1,5,6,0,0,2,2,2,3,1,2,1,0,2,2,2,3,3,0,0,3,2,2,2,0,0,0,1,0,1,3,1,0,3,0,1,0,3,0,3,2,3,1,3,0,0,2,2,2,2
223,0,1,2,0,1,0,3,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,2,3,1,1,5,6,0,0,3,2,1,1,1,0,2,0,0,0,0,2,2,0,2,2,2,3,3,2,1,3,0,3,2,2,2,2,0,0,1,1,0,3,0,1,0,0,1,3,2,1,2,1,1
224,0,1,2,0,4,3,0,3,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,5,6,0,0,1,1,2,2,2,0,0,0,3,0,0,3,0,2,2,1,2,2,3,1,1,1,1,2,0,0,1,1,0,3,1,3,0,3,0,1,0,2,2,0,0,3,2,1,2
225,0,1,0,2,3,4,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,3,3,0,2,0,3,2,1,1,1,0,0,2,3,3,2,1,2,1,2,0,0,3,3,3,0,0,2,1,3,2,0,1,0,0,1,3,2,2,1,0,3,0,0,0
226,0,0,1,3,2,5,6,2,89,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,1,0,2,3,3,1,1,0,0,3,3,0,0,2,2,0,0,0,1,2,3,0,1,3,1,3,2,1,2,2,3,1,2,1,2,2,2,1,3,2,1,0,0,0,0,3,2,1,2,3,3,2,2,0
227,0,0,1,1,2,1,2,7,67,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,0,2,2,5,0,0,1,1,0,2,1,3,3,2,1,1,3,0,0,0,3,1,1,1,1,3,3,3,3,2,1,2,3,2,0,1,0,2,3,0,0,3,2,1,2,2,2,1,1,0,1
228,0,1,2,2,3,0,3,3,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,1,1,2,1,5,6,0,0,3,0,3,1,0,3,0,3,0,3,1,3,0,3,1,1,3,2,0,3,2,0,3,1,3,1,3,2,1,1,2,0,1,2,1,1,1,0,1,0,2,1,3,0,0
