,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26
199,0,1,2,3,3,2,4,0,29,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,0,2,0,0,2,5,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1
200,0,1,2,2,1,4,6,7,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,1,3,0,5,3,6,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0
201,0,1,2,2,1,4,6,7,40,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,3,0,5,5,6,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0
202,0,1,2,2,1,4,6,7,45,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,1,3,0,5,3,6,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1
203,0,1,1,3,0,0,0,6,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,3,0,1,0,2,3,3,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
204,0,1,2,2,1,2,6,7,-1,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,3,0,5,5,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1
205,0,0,1,0,0,5,0,6,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,4,3,0,1,0,2,3,3,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1
206,0,1,1,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,0,4,2,0,4,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0
207,0,1,2,2,1,4,2,7,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0
208,0,0,0,1,4,3,1,1,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,1,1,2,1,4,5,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1
209,0,0,0,1,4,3,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,1,0,2,3,0,6,2,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1
210,0,0,1,0,0,5,0,6,1,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
211,0,1,2,2,1,4,6,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,1,3,0,5,3,6,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1
212,0,0,0,1,2,1,3,5,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,1,2,1,3,3,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
213,0,1,2,2,3,2,2,0,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,0,4,5,0,1,0,2,1,4,2,7,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1
214,0,0,1,0,0,5,0,4,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,0,2,0,4,2,0,4,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
215,0,1,2,2,1,4,2,7,46,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1
216,0,0,1,0,0,5,5,3,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,2,0,4,2,0,4,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0
217,0,1,2,2,1,4,6,7,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,1,3,0,5,3,6,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0
218,0,0,1,0,0,5,0,4,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,0,2,0,4,2,0,4,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1
219,0,0,1,0,0,5,5,6,1,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,3,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1
220,0,0,1,0,4,5,5,3,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,2,1,4,5,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0
221,0,0,0,1,2,1,3,2,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,3,2,5,3,3,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1
222,0,0,1,3,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,0,2,0,4,2,0,4,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0
223,0,0,0,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,1,2,1,3,3,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
224,0,1,2,2,1,4,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
225,0,0,0,1,4,3,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,1,0,2,3,0,6,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0
226,0,1,2,2,3,2,4,0,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,0,2,3,0,5,5,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
227,0,0,1,3,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,0,2,0,4,2,0,4,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1
228,0,0,0,1,2,1,3,2,49,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,3,0,5,3,6,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0
229,0,1,2,2,1,2,6,7,-1,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,3,0,5,5,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
230,0,1,2,2,1,4,2,7,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
231,0,1,0,1,2,1,3,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,3,0,5,3,6,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
232,0,0,1,0,0,5,5,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,3,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1
233,0,0,0,1,2,1,3,2,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,3,2,5,3,3,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1
234,0,0,0,1,2,1,3,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,0,2,1,4,2,7,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1
235,0,1,2,2,3,2,4,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,0,2,1,4,2,7,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0
236,0,0,1,0,0,5,5,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,3,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
237,0,1,0,2,1,4,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,1,3,0,5,3,6,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0
238,0,1,2,3,3,2,4,0,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,0,2,3,0,5,5,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1
239,0,0,0,1,2,1,3,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,2,1,0,6,2,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0
240,0,1,2,2,3,2,4,0,38,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,0,2,3,0,5,5,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0
241,0,1,0,2,1,4,3,2,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,1,3,0,5,3,6,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1
242,0,0,1,0,4,5,5,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,0,6,2,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
243,0,0,1,0,0,5,0,6,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,0,2,3,3,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1
244,0,1,2,2,1,4,2,7,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
245,0,1,0,2,1,4,2,2,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1
246,0,0,0,1,2,1,3,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,2,1,0,6,2,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
247,0,1,1,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,0,4,2,0,4,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1
248,0,1,0,2,1,4,6,2,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,1,3,0,5,3,6,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1
249,0,0,1,0,4,5,5,3,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,2,1,4,5,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
250,0,1,1,3,0,0,0,6,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,3,0,1,0,2,3,3,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0
251,0,1,2,2,1,4,6,7,41,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,3,0,5,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
252,0,0,1,0,4,5,5,3,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,2,1,4,5,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1
253,0,0,1,0,4,3,5,3,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,2,1,4,5,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0
254,0,0,0,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,1,2,1,3,3,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
255,0,0,0,1,2,1,1,5,44,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,1,2,1,4,3,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
256,0,0,0,1,4,3,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,1,1,2,1,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1
257,0,1,2,3,3,2,4,0,32,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,0,2,0,0,2,5,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
258,0,0,1,0,0,5,5,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,3,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1
259,0,1,2,3,3,0,0,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,2,0,4,2,0,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1
260,0,0,0,1,4,3,1,1,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,1,1,2,1,4,3,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0
261,0,0,1,0,4,5,5,3,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,2,1,4,5,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
262,0,0,1,0,4,3,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,1,0,2,3,0,6,2,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0
263,0,0,1,0,4,5,5,3,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,2,1,4,5,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1
264,0,0,0,1,2,1,3,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,0,2,1,4,2,7,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
265,0,1,0,2,1,4,2,2,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
266,0,1,2,3,3,2,4,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,6,0,1,0,2,1,4,2,7,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1
267,0,1,2,3,3,0,4,0,50,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,0,4,2,5,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1
268,0,0,1,0,4,5,5,3,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,2,0,4,2,0,4,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
269,0,1,2,2,1,4,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
270,0,1,0,2,1,4,2,2,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0
271,0,1,2,2,1,4,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,2,3,0,5,3,6,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
272,0,1,2,2,3,2,2,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,0,2,1,4,2,7,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
273,0,0,0,1,2,1,3,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,2,1,0,6,2,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
274,0,1,0,2,1,4,6,2,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,1,3,0,5,3,6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
275,0,1,2,3,3,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,0,4,2,5,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0
276,0,0,0,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,1,2,1,3,3,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0
277,0,0,0,1,2,1,3,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,2,1,0,6,2,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1
278,0,0,0,1,2,1,3,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,2,1,0,6,2,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0
279,0,0,0,1,2,1,3,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,2,1,0,6,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
280,0,1,2,3,3,0,4,0,21,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,0,4,2,5,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1
281,0,1,0,2,1,4,2,2,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0
282,0,1,2,3,3,2,4,0,-1,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,0,2,3,0,5,5,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
283,0,1,2,3,3,0,4,0,50,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,0,4,2,5,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
284,0,1,2,3,3,2,4,0,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,0,4,2,5,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0
285,0,1,1,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,0,4,2,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0
286,0,0,1,0,0,5,5,6,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,3,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0
287,0,0,0,1,4,3,1,1,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,1,1,2,1,4,5,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1
288,0,0,1,0,0,5,5,3,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,2,0,4,2,0,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1
289,0,1,2,3,3,0,4,0,50,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,0,4,2,5,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1
290,0,1,1,3,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,0,4,2,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
291,0,1,0,2,1,4,3,2,39,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,1,3,0,5,3,6,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
292,0,0,0,1,2,1,3,2,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,3,2,5,3,3,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0
293,0,1,2,2,1,4,6,7,41,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,3,0,5,5,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
294,0,1,2,2,1,4,2,7,46,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1
295,0,1,2,2,1,4,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,2,1,4,2,7,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
296,0,0,1,0,4,3,5,3,51,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,2,1,4,5,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
297,0,0,1,0,4,5,5,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,2,3,3,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
298,0,0,0,1,2,1,3,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,0,2,1,0,6,2,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1
299,0,0,0,1,2,3,1,5,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,1,1,2,1,4,3,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0
300,0,0,0,1,4,3,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,1,0,2,3,0,6,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1
301,0,0,0,1,4,3,1,1,2,1,1,1,1,0,0,0,0,0,1,1,1,2,4,0,0,0,1,0,2,3,0,6,2,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
302,0,0,1,0,0,5,5,3,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,2,0,4,2,0,4,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1
