,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17
235,0,1,0,0,4,4,4,1,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,0,2,0,0,1,2,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1
236,0,0,1,2,3,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0
237,0,1,2,3,0,1,5,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,1,1,1,5,2,3,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1
238,0,1,0,0,4,4,4,5,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,2,1,1,5,3,5,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1
239,0,0,2,1,2,3,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,2,0,4,0,7,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0
240,0,1,0,0,4,4,4,5,38,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,1,2,1,1,5,3,5,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0
241,0,0,2,3,0,1,2,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,1,1,1,1,5,2,3,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
242,0,0,1,2,3,0,3,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,4,0,7,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
243,0,1,1,2,1,0,6,2,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,0,0,2,3,3,4,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0
244,0,1,2,3,0,1,5,1,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0
245,0,1,2,3,0,1,2,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0
246,0,0,2,1,2,3,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,2,0,4,0,7,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0
247,0,1,0,0,1,2,1,6,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,2,2,6,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0
248,0,1,2,3,0,1,2,7,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,1,1,1,5,2,3,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0
249,0,0,1,2,3,0,3,0,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,3,4,1,5,6,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1
250,0,1,0,0,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,3,0,0,0,2,3,3,4,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1
251,0,1,2,3,0,1,5,7,41,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,2,1,1,5,3,5,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0
252,0,0,1,2,3,0,3,0,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,3,4,1,5,6,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
253,0,0,1,2,3,0,3,0,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,3,4,1,5,6,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0
254,0,0,2,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,3,4,1,2,4,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
255,0,0,2,1,2,3,0,4,44,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,3,4,1,5,4,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
256,0,0,1,1,3,5,3,4,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,1,1,3,4,1,5,6,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
257,0,1,0,0,4,4,4,5,32,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,0,2,5,3,5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
258,0,0,1,2,3,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1
259,0,1,0,0,1,2,1,6,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,0,2,2,6,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
260,0,0,1,1,2,5,0,4,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,1,1,3,4,1,5,4,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0
261,0,0,1,2,3,0,3,0,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,3,4,1,5,6,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
262,0,0,1,2,3,5,3,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,2,3,4,0,7,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1
263,0,0,1,2,3,0,3,0,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,3,4,1,5,6,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
264,0,0,2,1,2,3,2,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
265,0,1,2,3,0,1,2,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0
266,0,1,0,0,4,4,4,5,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,6,0,0,0,2,0,0,1,2,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1
267,0,1,0,0,4,2,1,5,50,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,2,2,3,5,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
268,0,0,1,2,3,0,6,0,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,0,2,2,6,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1
269,0,1,2,3,0,1,5,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0
270,0,0,2,3,0,1,2,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
271,0,1,2,3,0,1,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,2,1,1,5,2,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
272,0,1,0,0,4,4,4,1,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,0,2,0,0,1,2,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1
273,0,0,2,1,2,3,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,2,0,4,0,7,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0
274,0,1,2,3,0,1,2,7,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,1,1,1,5,2,3,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0
275,0,1,0,0,4,2,1,5,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,2,2,3,5,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
276,0,0,2,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,3,4,1,2,4,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1
277,0,0,2,1,2,3,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,2,0,4,0,7,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
278,0,0,2,1,2,3,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,2,0,4,0,7,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
279,0,0,2,1,2,3,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,2,0,4,0,7,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1
280,0,1,0,0,4,2,1,5,21,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,2,2,3,5,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0
281,0,1,2,3,0,1,2,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
282,0,1,0,0,4,4,4,5,-1,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,2,1,1,5,3,5,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0
283,0,1,0,0,4,2,1,5,50,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,2,2,3,5,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0
284,0,1,0,0,4,4,4,5,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,2,2,3,5,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0
285,0,1,0,0,1,2,1,6,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,2,2,6,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
286,0,0,1,2,1,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0
287,0,0,1,1,2,5,0,4,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,1,1,3,4,1,5,6,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0
288,0,0,1,2,3,0,6,0,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,0,2,2,6,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1
289,0,1,0,0,4,2,1,5,50,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,2,2,3,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
290,0,1,0,0,1,2,1,6,37,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,2,2,6,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1
291,0,0,2,3,0,1,2,7,39,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,1,1,1,1,5,2,3,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1
292,0,0,2,1,2,3,2,3,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,1,1,1,1,2,4,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1
293,0,1,2,3,0,1,5,7,41,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,2,1,1,5,3,5,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
294,0,1,2,3,0,1,5,1,46,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
295,0,1,2,3,0,1,5,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
296,0,0,1,2,3,0,3,0,51,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,3,4,1,5,6,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1
297,0,0,1,2,3,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1
298,0,0,2,1,2,3,2,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,0,2,0,4,0,7,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
299,0,0,1,1,2,5,0,4,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,1,1,3,4,1,5,4,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1
300,0,0,1,1,3,5,3,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,2,3,4,0,7,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1
301,0,0,1,1,3,5,3,4,2,1,1,1,1,0,0,0,0,0,1,1,1,2,4,0,0,0,0,0,2,3,4,0,7,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1
302,0,0,1,2,1,0,6,0,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,0,2,2,6,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
303,0,0,1,2,3,5,3,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,2,3,4,0,7,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0
304,0,1,2,3,0,1,5,1,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1
305,0,1,0,0,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,0,0,2,3,3,4,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
306,0,1,0,0,1,2,1,6,37,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,2,2,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
307,0,1,2,3,0,1,5,7,41,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,2,1,1,5,3,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
308,0,0,2,1,2,3,0,4,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,1,3,4,1,5,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1
309,0,1,0,2,1,2,1,2,5,1,1,1,1,0,0,0,0,0,1,1,3,0,4,4,3,0,0,0,2,3,3,4,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
310,0,1,0,0,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,0,2,3,3,4,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0
311,0,0,2,1,2,3,2,3,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,1,1,1,1,2,4,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0
312,0,1,2,3,0,1,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,1,1,1,5,2,3,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1
313,0,1,2,3,0,1,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,1,1,1,5,2,3,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0
314,0,0,1,2,3,0,6,0,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,0,2,2,6,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1
315,0,0,2,1,2,3,0,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,2,0,4,0,7,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0
316,0,0,2,1,2,3,2,3,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,3,1,1,2,4,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1
317,0,0,2,1,2,3,2,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,0,2,0,0,1,2,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1
318,0,1,2,3,0,1,5,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,1,1,1,5,2,3,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1
319,0,1,0,0,1,2,1,6,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,2,2,6,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
320,0,0,1,2,1,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0
321,0,1,2,3,0,1,5,1,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
322,0,0,1,1,2,5,0,4,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,0,2,3,4,0,7,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1
323,0,1,1,2,1,2,6,2,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,0,0,2,3,3,4,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0
324,0,1,2,3,0,1,5,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0
325,0,1,0,2,1,2,1,6,48,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,1,2,0,2,2,6,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
326,0,0,2,3,0,1,2,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0
327,0,0,1,2,3,0,6,0,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,0,2,2,6,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
328,0,0,1,1,2,5,0,4,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,2,0,4,0,7,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
329,0,0,1,2,3,5,3,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,2,3,4,0,7,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
330,0,0,1,2,3,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1
331,0,1,0,0,1,2,1,6,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,2,2,6,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
332,0,1,2,3,0,1,5,1,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
333,0,1,1,2,1,0,6,6,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,2,0,2,2,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
334,0,0,2,3,0,1,2,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,1,2,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
335,0,0,2,3,0,1,2,3,39,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,1,1,1,1,5,2,3,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0
336,0,0,1,2,3,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
337,0,0,1,2,3,5,3,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,2,3,4,0,7,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1
338,0,0,1,1,2,5,0,4,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,1,3,4,1,5,4,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1
339,0,1,0,0,4,4,4,5,52,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,1,2,1,1,5,3,5,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
340,0,1,0,3,4,4,5,1,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,0,4,5,0,0,0,2,0,0,1,2,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1
341,0,1,0,0,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,3,0,0,0,2,3,3,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
342,0,0,1,2,3,0,6,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0
343,0,0,1,2,3,5,3,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,2,3,4,0,7,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1
344,0,1,0,0,4,4,4,1,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,0,2,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
345,0,1,0,0,4,4,4,5,38,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,1,2,1,1,5,3,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1
346,0,1,0,0,4,4,4,2,3,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,0,0,2,3,3,4,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1
347,0,0,1,1,2,5,0,4,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,1,3,4,1,5,4,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0
348,0,0,1,2,3,5,3,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,2,3,4,0,7,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
349,0,0,1,2,1,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
350,0,0,1,2,1,0,6,0,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,0,2,2,6,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1
351,0,0,2,3,0,3,2,3,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,0,2,0,0,1,2,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0
352,0,0,2,1,2,3,0,4,44,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,1,3,4,1,5,4,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
353,0,0,1,2,3,0,6,0,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,2,3,3,4,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1
354,0,0,1,2,3,0,3,0,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,3,4,1,5,6,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
355,0,1,0,0,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,0,0,2,3,3,4,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0
356,0,0,1,2,3,5,3,4,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,1,3,4,1,5,6,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0
