,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40
160,0,1,0,0,4,5,5,3,70,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,1,2,0,5,7,0,0,3,2,2,3,3,0,0,3,0,1,1,2,3,3,1,0,2,2,1,3,1,1,0,0,3,1,1,3,1,0,0,2,2,3,2,2,1,1,0,1
161,0,1,0,0,4,4,5,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,2,1,2,0,5,7,0,0,0,0,3,2,0,3,1,0,1,0,0,2,1,3,2,3,3,2,0,3,0,2,0,1,2,0,0,0,3,2,3,1,3,2,3,1,2,0,3,1
162,0,1,0,0,1,1,1,2,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,1,2,4,5,7,0,0,1,2,2,3,3,0,1,2,0,0,2,0,0,3,0,2,0,3,2,1,3,2,3,1,2,2,0,2,1,2,3,3,1,3,2,3,3,3,1,2
163,0,0,2,3,2,0,2,0,71,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,3,1,3,0,0,1,1,1,1,0,1,3,0,3,3,1,1,3,3,1,2,2,3,1,0,3,1,0,1,2,0,2,1,2,2,1,1,3,2,1
164,0,1,0,0,1,1,3,2,72,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,3,2,4,6,0,0,1,0,3,3,3,3,2,1,0,3,3,0,1,3,1,3,1,1,1,0,2,2,2,0,0,3,0,1,0,3,3,1,2,3,2,3,2,1,1,1
165,0,1,1,1,3,2,4,1,73,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,1,5,1,2,0,0,0,0,0,0,1,0,0,2,1,1,1,2,3,3,0,0,1,0,3,1,2,3,1,0,0,1,1,3,1,1,3,2,1,1,2,2,3,3,3,3
166,0,1,0,0,1,1,3,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,1,3,2,4,6,0,0,2,3,2,0,0,0,0,0,2,1,3,0,3,3,3,3,3,3,2,2,0,3,2,2,0,2,2,1,1,0,1,3,2,1,2,2,2,2,0,3
167,0,0,2,3,2,0,2,0,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,0,3,1,0,2,2,2,0,1,0,2,2,0,3,3,0,1,0,1,1,0,0,3,2,1,1,0,0,2,1,2,0,2,0,3,1,1,1,3,3
168,0,0,1,2,0,3,6,6,75,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,4,3,0,3,0,0,0,2,2,3,3,0,2,1,2,0,0,1,3,2,0,2,1,1,3,1,1,0,2,3,3,1,2,1,1,1,3,3,2,2,2,2,1,0,0,1
169,0,0,1,2,0,3,6,6,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,4,3,0,2,0,0,0,2,0,2,0,1,2,1,3,0,1,0,0,2,0,3,2,3,1,1,1,1,0,1,3,1,2,0,1,3,2,1,3,2,3,3,1,0,2,3
170,0,0,2,3,4,4,5,7,76,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,2,0,5,7,0,0,0,1,3,1,1,0,0,3,2,2,0,2,3,2,3,0,1,3,3,2,1,0,3,2,0,3,0,0,1,0,2,3,3,0,0,3,1,3,3,0
171,0,0,2,3,4,4,5,7,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,0,0,5,7,0,0,1,3,3,2,0,0,2,1,1,2,1,0,0,2,1,1,1,2,3,3,0,3,0,2,2,1,0,0,0,2,2,0,2,1,1,3,2,2,3,0
172,0,0,2,3,2,0,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,2,1,1,2,0,3,0,1,3,2,3,1,3,2,0,2,3,3,3,1,0,2,0,1,0,0,0,3,2,0,2,3,0,0,3,2,3,0,1,3
173,0,0,2,3,2,0,2,0,77,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,6,0,0,0,0,1,1,0,2,1,2,0,2,0,3,3,0,0,1,3,0,3,1,2,3,3,3,0,3,3,3,0,2,1,3,1,0,1,0,2,3,2,3,3
174,0,0,2,3,2,0,2,0,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,1,2,3,0,3,2,3,0,1,2,0,0,1,2,0,2,2,0,3,1,1,3,1,2,0,2,1,2,3,2,1,0,0,0,3,1,0,1,3,3
175,0,1,0,0,1,1,1,5,78,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,1,2,4,2,1,0,0,0,1,0,1,3,1,2,0,2,3,0,1,1,3,1,1,1,3,2,2,1,0,2,1,1,1,3,1,3,1,1,3,0,3,3,2,3,2,3,3
176,0,0,1,2,0,3,6,6,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,4,3,0,3,0,0,2,3,0,3,0,0,2,0,1,2,2,0,1,1,0,1,0,3,1,0,1,1,2,2,2,1,1,1,3,1,1,1,3,1,2,0,1,2,3,0
177,0,0,2,3,2,0,2,0,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,3,3,0,0,2,0,0,0,0,3,2,0,1,2,0,1,2,1,3,1,0,2,2,1,2,1,2,3,1,3,2,2,3,1,1,1,3,0,2,1
178,0,0,2,3,2,0,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,1,2,0,3,2,2,1,2,0,3,2,1,2,2,2,0,0,1,0,0,3,2,2,0,1,3,0,1,1,1,3,0,1,3,0,2,1,1,0,2
179,0,1,0,0,1,1,1,2,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,1,2,4,4,6,0,0,2,0,0,2,1,2,1,3,2,3,0,2,2,2,3,3,1,2,1,0,2,3,2,3,1,0,3,1,0,1,3,1,0,2,3,2,1,1,0,2
180,0,0,2,3,2,0,2,0,65,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,1,2,3,0,1,6,0,0,0,0,3,3,1,3,3,2,0,0,2,0,3,0,2,1,3,0,3,3,3,1,2,0,3,0,0,3,2,2,1,0,0,0,1,3,3,3,2,2,2
181,0,1,0,0,1,1,3,2,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,1,3,2,4,6,0,0,0,1,1,3,2,2,2,1,1,2,2,0,3,0,0,3,1,0,3,1,0,0,1,0,3,3,0,0,0,2,0,2,3,2,1,1,2,2,3,1
182,0,0,2,3,2,0,2,0,80,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,3,0,3,2,2,0,1,0,3,2,0,3,0,3,0,2,0,2,2,0,0,3,1,1,2,2,1,2,0,0,0,3,0,0,0,0,2,1,1,3
183,0,1,1,2,0,5,0,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,1,2,1,5,1,2,0,0,2,0,0,3,2,3,1,0,2,1,3,3,3,3,1,2,1,3,2,2,0,1,2,1,0,2,3,3,1,2,1,2,2,2,2,1,0,1,2,2
184,0,1,0,0,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,1,2,4,2,1,0,0,2,2,0,2,2,3,3,3,0,2,1,2,3,1,3,2,1,1,2,2,2,3,1,1,1,2,0,2,3,0,2,3,1,1,0,1,0,2,3,3
185,0,0,1,2,0,3,6,6,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,4,3,0,3,0,0,2,3,0,0,1,1,1,1,1,3,1,0,1,1,0,3,2,1,1,1,1,3,0,1,1,1,0,1,2,3,0,1,1,1,2,1,0,1,1,3
186,0,0,2,3,2,0,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,0,1,0,0,3,3,2,2,1,0,1,3,0,2,1,3,2,0,2,0,0,2,3,1,0,2,2,0,1,2,3,1,1,3,0,1,0,1,1,2
187,0,0,2,3,2,0,2,0,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,1,3,2,3,0,2,0,1,3,1,0,0,0,1,3,2,1,3,3,3,0,2,2,2,2,1,0,1,0,3,0,2,0,1,0,3,3,3,1,1
188,0,1,1,1,3,5,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,0,1,0,1,2,0,0,2,2,0,3,0,1,1,1,2,1,1,1,3,2,1,2,3,1,0,2,2,1,0,0,2,0,2,2,2,1,2,2,1,3,0,2,0,1,1,2
189,0,0,2,3,2,0,2,3,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,3,0,1,6,0,0,0,2,2,3,2,0,0,0,0,3,1,3,0,2,1,3,3,3,2,1,1,2,2,3,2,0,2,0,3,3,0,3,3,3,1,0,3,0,3,0,1
190,0,1,0,0,1,1,3,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,1,3,2,4,6,0,0,2,2,0,3,3,1,0,2,2,3,3,1,3,3,0,1,2,2,2,1,1,0,3,2,2,2,1,2,1,0,2,2,3,3,2,1,2,2,1,3
191,0,0,2,3,4,4,5,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,3,0,0,6,7,0,0,2,3,1,1,1,1,2,2,2,1,2,2,1,0,0,0,2,2,1,2,2,0,2,0,3,2,3,1,2,3,3,0,3,1,0,1,1,2,1,2
192,0,1,1,1,3,2,4,4,63,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,1,5,1,5,0,0,3,0,2,2,3,3,3,1,0,3,2,0,2,0,0,3,2,2,1,0,1,0,2,0,3,1,0,0,0,2,1,1,1,1,0,3,0,0,2,3
193,0,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,3,3,2,2,0,2,1,2,3,2,2,3,2,1,3,2,0,0,0,1,0,3,3,1,0,0,2,1,0,1,0,1,2,0,3,3,3,2,2,1
194,0,1,0,0,1,1,1,5,81,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,1,2,4,2,6,0,0,0,0,0,3,0,2,1,2,1,1,3,2,1,2,1,2,2,2,2,3,2,1,1,3,2,2,2,3,3,2,2,3,2,2,1,0,3,3,0,0
195,0,1,0,0,1,5,3,2,18,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,0,1,3,2,4,6,0,0,2,1,1,1,3,3,3,0,0,3,3,1,2,1,1,2,2,1,2,3,2,3,3,0,3,3,1,2,0,0,2,0,3,2,3,3,1,1,3,1
196,0,0,1,2,0,5,0,3,82,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,2,4,0,6,0,0,0,3,3,0,3,0,3,1,3,2,1,2,0,1,2,2,3,0,2,2,1,0,3,2,2,0,0,0,3,1,1,2,0,0,1,3,1,3,0,1,3
197,0,0,2,3,2,0,2,0,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,1,2,3,2,2,3,0,2,0,1,0,2,2,1,0,3,3,2,1,3,1,3,3,2,1,3,0,0,0,2,1,2,0,3,2,3,2,2,0,1
198,0,0,2,3,2,0,2,0,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,1,2,3,2,2,3,3,3,3,3,1,2,3,0,1,2,0,3,0,1,1,1,0,2,2,2,3,3,2,2,0,3,2,0,0,1,3,3,1,3
199,0,0,1,2,0,5,0,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,2,1,0,1,2,0,0,2,1,1,3,0,3,0,3,0,3,3,2,3,3,3,1,1,3,1,0,0,1,1,0,1,2,1,1,3,3,1,1,1,0,3,2,1,3,2,2
200,0,1,0,0,4,5,3,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,0,1,3,0,4,6,0,0,0,2,2,2,0,1,1,3,1,0,2,0,2,3,3,0,3,0,1,1,3,2,2,1,3,2,3,2,2,3,1,0,0,2,3,2,3,2,0,0
201,0,1,1,1,3,5,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,0,1,0,1,2,0,0,2,1,1,3,0,3,3,2,2,0,2,3,0,0,0,2,3,1,2,2,1,2,3,1,1,2,1,1,0,2,1,3,3,0,3,1,0,1,1,0
202,0,1,0,1,3,2,3,2,83,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,0,0,0,3,2,4,6,0,0,0,3,1,1,3,0,2,1,0,1,3,1,2,3,3,2,1,2,3,3,3,1,3,3,1,2,3,0,3,0,2,1,0,2,0,3,1,3,0,1
203,0,0,2,3,4,4,5,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,3,0,0,6,0,0,0,2,3,0,0,2,3,0,2,2,1,3,2,2,0,0,2,3,1,0,2,0,0,3,2,3,1,0,2,3,1,3,2,0,1,0,2,0,1,2,0
204,0,1,1,1,3,2,4,4,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,1,5,1,5,0,0,1,1,1,0,1,3,1,0,3,0,0,1,1,0,3,2,2,1,1,1,0,0,0,0,0,3,2,1,3,2,1,1,2,0,2,0,3,3,2,2
205,0,0,1,2,4,5,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,7,0,0,1,2,4,0,6,0,0,0,1,0,2,3,3,3,1,0,0,1,0,2,2,1,3,1,0,2,3,1,1,0,2,3,3,1,3,0,3,0,0,2,0,1,3,2,1,1,1,0
206,0,1,1,1,3,5,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,0,1,0,1,2,0,0,1,3,0,3,2,2,1,3,1,3,3,2,1,3,3,0,3,2,0,0,3,2,2,1,2,0,1,0,3,1,3,3,0,2,2,1,3,1,1,0
207,0,0,1,2,0,3,6,6,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,4,3,0,3,0,0,2,1,3,0,3,1,2,2,2,3,3,0,2,1,1,3,2,1,1,0,2,1,3,3,1,3,0,0,3,2,3,0,3,2,3,2,0,1,0,3
208,0,0,2,2,0,3,6,3,84,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,1,2,4,0,6,0,0,0,1,0,0,1,3,1,3,3,0,2,3,1,2,3,3,1,0,1,0,1,0,2,1,1,0,1,0,2,3,3,1,0,2,0,1,3,3,1,3,3
209,0,1,1,1,3,5,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,0,1,0,1,2,0,0,1,3,0,0,0,3,0,0,1,3,2,0,1,0,1,0,2,3,1,0,2,0,2,0,0,2,1,0,2,2,1,2,2,0,1,2,2,2,0,1
210,0,1,0,0,1,1,3,2,72,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,1,3,2,4,6,0,0,0,2,1,1,0,0,0,1,3,0,1,2,2,0,3,0,3,2,2,1,1,0,3,2,2,1,3,2,3,3,1,1,1,0,0,3,3,0,3,1
211,0,0,1,2,0,5,0,6,85,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,7,0,0,1,2,4,0,6,2,0,0,2,0,2,1,2,0,3,1,3,1,3,3,3,3,1,1,1,1,1,0,3,3,2,0,2,1,0,3,2,1,0,0,3,2,1,2,0,3,3,1
212,0,1,0,0,1,1,1,2,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,1,3,2,4,6,0,0,0,3,0,3,2,3,3,2,1,0,1,3,3,3,3,2,0,3,2,3,3,1,1,0,1,0,1,3,2,3,1,1,0,0,0,0,2,1,3,1
213,0,0,2,3,4,4,5,7,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,2,4,5,7,0,0,3,3,0,1,1,0,3,3,1,0,2,2,0,1,1,2,1,0,3,3,3,3,1,3,2,1,3,2,2,3,1,2,0,1,2,2,1,0,3,2
214,0,1,0,0,1,1,1,5,86,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,1,2,4,2,1,0,0,1,1,2,1,3,3,1,3,1,3,0,1,1,1,1,1,3,3,0,1,2,2,1,2,3,2,2,1,2,0,2,0,1,1,2,3,2,2,2,1
215,0,0,2,3,2,0,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,0,3,0,2,1,1,0,0,0,1,3,1,2,1,0,3,2,3,3,1,1,3,0,1,3,1,2,3,2,3,0,0,0,0,1,3,2,2,0,1
216,0,1,1,2,0,5,0,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,1,2,1,5,1,2,0,0,1,1,0,0,1,3,0,0,2,2,1,2,0,2,2,2,3,1,1,2,0,1,1,2,1,0,1,2,3,2,0,3,3,3,1,2,0,1,3,3
217,0,0,2,3,2,0,2,3,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,3,0,1,6,0,0,0,1,3,2,2,3,0,1,0,1,3,1,1,1,0,3,0,1,2,0,3,0,0,1,2,0,1,1,2,2,2,3,1,0,2,3,3,1,3,2,1
218,0,0,1,2,0,3,6,1,87,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,2,0,0,1,2,4,3,0,2,0,0,3,3,0,1,3,3,0,2,3,1,2,3,0,2,0,3,3,3,1,0,3,3,1,3,1,2,1,1,3,0,3,0,0,0,1,0,3,0,2,0
219,0,0,2,3,4,4,5,7,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,0,0,5,7,0,0,0,3,2,1,1,1,3,0,1,1,2,3,2,1,1,2,1,2,3,0,2,0,2,2,1,0,0,3,1,1,1,1,1,3,3,0,0,1,1,3
220,0,0,2,3,2,0,2,0,88,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,6,0,0,0,1,0,1,0,3,3,1,3,0,2,3,0,0,0,3,1,3,3,0,0,2,2,3,3,2,1,2,3,2,0,1,0,0,0,0,0,1,1,2,0
221,0,0,1,2,0,5,0,1,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,2,4,0,6,2,0,0,3,1,0,1,2,1,2,0,2,1,1,1,2,2,0,1,3,2,0,0,2,1,0,0,1,3,2,2,2,1,3,0,0,0,1,0,2,1,0,1
222,0,0,2,3,4,4,5,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,3,0,0,6,7,0,0,1,0,0,2,2,2,1,2,2,1,2,0,3,2,3,1,3,0,3,1,3,1,3,3,2,0,0,0,2,3,1,0,3,3,1,2,3,0,2,1
223,0,0,2,3,4,5,0,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,2,3,0,0,6,0,0,0,1,3,1,3,3,0,2,1,1,2,2,1,0,1,0,0,1,1,0,2,0,0,0,0,2,1,1,2,3,1,0,2,2,0,2,1,1,3,3,1
224,0,0,2,3,2,0,2,0,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,6,0,0,0,2,2,2,0,2,3,3,0,3,1,3,0,1,2,3,2,2,2,3,0,3,3,0,3,2,0,1,0,0,1,1,0,2,3,2,3,1,2,0,0
225,0,0,1,2,0,3,6,6,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,4,3,0,3,0,0,1,1,3,3,0,2,3,1,3,1,1,0,3,3,2,0,2,3,2,3,1,3,1,2,1,0,0,1,0,1,3,2,0,0,1,2,2,0,1,2
226,0,1,0,0,1,4,1,5,89,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,1,0,1,2,4,5,7,0,0,0,1,0,2,0,0,3,3,0,1,3,2,3,2,0,1,2,3,1,3,2,2,3,1,3,3,1,0,3,2,0,3,2,3,2,3,3,1,0,0
227,0,1,0,1,1,1,3,2,67,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,3,2,4,6,0,0,0,1,3,0,1,1,2,0,2,0,1,0,0,3,1,3,0,1,1,1,2,0,3,0,1,2,2,3,2,1,2,2,2,3,1,1,2,3,1,2
228,0,0,2,2,0,5,0,3,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,1,2,4,0,6,0,0,0,3,3,0,1,1,1,3,0,3,3,0,0,0,0,2,0,2,3,2,3,2,2,3,3,1,2,0,3,1,0,3,3,0,1,0,2,3,1,0,0
229,0,1,1,1,3,5,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,0,1,0,1,2,0,0,2,2,3,0,1,1,0,2,2,2,2,0,2,2,1,3,1,2,3,3,2,3,2,2,3,1,0,0,3,3,2,2,3,1,2,3,1,3,2,0
230,0,1,1,1,3,2,4,4,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,1,5,1,5,0,0,1,0,0,0,1,0,0,3,3,0,3,0,3,1,2,3,1,1,2,3,2,1,2,2,3,3,1,2,2,1,2,1,2,1,0,2,2,1,0,2
231,0,1,0,0,1,1,1,5,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,1,3,2,2,1,0,0,0,2,1,3,0,0,1,2,1,3,1,3,2,0,3,1,1,2,1,2,3,2,0,3,1,2,0,1,2,3,1,1,2,2,3,1,1,1,3,1
232,0,1,0,1,3,2,3,4,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,3,2,4,5,0,0,3,0,0,0,0,2,3,1,1,3,3,0,3,0,2,2,2,0,3,0,2,1,3,0,0,1,2,0,3,1,3,2,3,3,0,1,0,3,1,2
233,0,1,0,0,1,1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,1,2,4,2,1,0,0,3,0,1,0,3,2,1,2,2,3,2,2,0,0,1,0,3,2,3,3,0,2,3,0,0,3,3,3,0,1,2,0,3,0,0,3,0,2,0,1
234,0,0,2,3,2,0,2,3,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,3,0,0,6,0,0,0,0,2,3,3,3,3,0,1,2,1,1,3,1,2,3,0,1,1,0,0,1,1,0,2,0,0,0,3,1,0,1,3,1,2,3,2,2,3,0,2
235,0,1,1,1,3,2,4,4,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,1,5,1,5,0,0,3,3,2,0,1,2,1,2,2,3,0,3,0,3,2,1,3,2,0,2,0,0,0,2,0,2,1,3,1,3,1,1,3,0,0,3,1,0,0,0
236,0,1,1,1,3,2,4,4,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,1,5,1,5,0,0,1,3,3,0,0,1,3,3,2,2,1,1,1,1,0,3,0,3,1,2,1,2,1,1,3,0,2,0,2,3,3,1,3,2,2,1,1,2,0,3
237,0,1,1,1,3,2,4,1,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,1,5,1,2,0,0,2,1,0,2,3,2,3,2,3,0,3,2,0,1,2,0,2,0,2,3,1,3,3,2,3,0,2,3,3,1,3,3,3,1,3,0,0,3,1,0
238,0,0,1,2,0,3,6,6,90,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,4,3,0,3,0,0,3,1,3,3,1,0,1,1,2,3,0,2,3,3,0,3,3,1,3,0,2,1,0,3,2,3,1,1,3,1,2,2,1,2,1,0,2,1,1,3
239,0,0,2,3,4,5,0,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,2,4,0,6,0,0,0,1,0,2,3,3,0,1,2,3,1,2,3,0,0,0,2,2,0,1,3,2,3,1,0,2,2,2,0,0,3,1,1,3,3,2,1,2,0,3,2
240,0,0,2,2,0,3,6,6,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,1,2,4,3,0,3,0,0,1,1,1,2,0,1,0,2,3,0,0,3,2,3,1,1,0,3,3,2,2,3,2,1,0,1,3,2,2,0,0,3,2,2,2,3,1,0,2,0
241,0,1,0,0,1,1,3,2,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,1,3,2,4,6,0,0,0,1,0,3,2,0,0,0,1,0,2,2,0,2,1,0,0,1,2,3,2,2,1,0,3,0,2,3,3,3,0,3,3,3,0,2,1,0,1,3
242,0,1,0,0,1,1,1,5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,1,2,4,2,1,0,0,1,1,1,2,1,3,3,2,1,0,2,1,1,2,3,2,2,3,3,2,1,2,0,1,0,3,2,2,2,1,3,1,2,3,1,1,1,1,0,0
243,0,0,2,3,2,0,2,0,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,0,1,3,4,0,0,0,0,3,3,3,2,2,1,1,2,1,1,0,2,0,0,1,2,2,3,0,2,2,0,0,3,2,0,2,2,2,1,0,2,2,1,2,0,2,1
